Region,Country ,Exchange,Name,Forex,Symbol,ISIN,SEDOL,Close(local),Mcap(local),Mcap(USD),Industry,Supersector,1 Day Close,1 Week Close,2 Week Close,1 Month Close,2 Month Close,3 Month Close,1 Day Change %,1 Day Change % (USD),1 Week Change %,1 Week Change % (USD),2 Week Change %,2 Week Change % (USD),1 Month Change %,1 Month Change % (USD),2 Month Change %,2 Month Change % USD,3 Month Change %,3 Month Change % (USD),RecScore
Europe,AT,VIE,Erste Group Bank AG,EUR,ERST.VI,AT0000652011,5289837,12.75,2590858703,3439883100,Financials,Banks,13.75,13.69,10.27,7.75,11.84,16.2,-0.072727273,-0.074748234,-0.068663258,-0.088638125,0.241480039,0.268274572,0.64516129,0.71309411,0.076858108,0.11568046,-0.212962963,-0.261232936,0.660708095
Europe,AT,VIE,Raiffeisen International Bank-Holding AG,EUR,RIBH.VI,AT0000606306,B0704T9,21.21,1033356768,1371987780,Financials,Banks,22.65,25,19.95,14.62,16,19.3,-0.063576159,-0.065617065,-0.1516,-0.169796079,0.063157895,0.086103748,0.450752394,0.510657584,0.325625,0.373415773,0.098963731,0.031562901,0.480593492
Europe,AT,VIE,voestalpine AG,EUR,VOES.VI,AT0000937503,4943402,9.85,1064158980,1412883878,Basic Materials,Basic Resources,10.11,10.47,11.19,12.4,15.22,15.04,-0.025717112,-0.02784053,-0.05921681,-0.079394279,-0.119749777,-0.10075157,-0.205645161,-0.172844265,-0.35282523,-0.329493607,-0.345079787,-0.385246869,0.185388482
Europe,AT,VIE,Wienerberger AG,EUR,WBSV.VI,AT0000831706,5699373,5.93,497809796,660942066,Industrials,Construction & Materials,6.15,5.6,5.5,6.57,10.06,11.9,-0.035772358,-0.03787386,0.058928571,0.036217176,0.078181818,0.10145193,-0.097412481,-0.060142388,-0.410536779,-0.389285744,-0.501680672,-0.532243224,0.219167278
Europe,AT,VIE,Intercell AG,EUR,ICEL.VI,AT0000612601,B067M97,23.2,921070213,1222904922,Health Care,Health Care,21.22,21.48,21.49,22.92,25.68,21.84,0.0933082,0.09092537,0.080074488,0.056909565,0.079571894,0.102872006,0.012216405,0.054013349,-0.096573209,-0.064003316,0.062271062,-0.00287936,0.423109762
Europe,AT,VIE,Andritz AG,EUR,ANDR.VI,AT0000730007,B1WVF68,23.16,855067200,1135272721,Industrials,Industrial Goods & Services,21.47,21.51,19.79,24,23.3,18.16,0.078714485,0.076363462,0.076708508,0.053615776,0.170288024,0.195546038,-0.035,0.004847261,-0.006008584,0.0298263,0.275330396,0.197112777,0.32445898
Europe,AT,VIE,Vienna Insurance Group,EUR,VIGR.VI,AT0000908504,B0BKSS2,21.63,794599680,1054989995,Financials,Insurance,22.05,21.3,18.23,19.17,24.6,24.12,-0.019047619,-0.021185573,0.015492958,-0.006286851,0.18650576,0.212113797,0.128325509,0.174916888,-0.120731707,-0.089032764,-0.103233831,-0.15823363,0.388248121
Europe,AT,VIE,OMV AG,EUR,OMVV.VI,AT0000743059,4651459,25.2,3727080000,4948444116,Oil & Gas,Oil & Gas,24.29,23.84,21.23,20.72,22.39,18.72,0.037463977,0.035202857,0.05704698,0.03437594,0.186999529,0.212618224,0.216216216,0.266436822,0.125502456,0.166078511,0.346153846,0.263592535,0.504152977
Europe,AT,VIE,Telekom Austria AG,EUR,TELA.VI,AT0000720008,4635088,11.4,3808717200,5056833826,Telecommunications,Telecommunications,10.86,10.49,10.49,9.95,11,10.3,0.049723757,0.047435918,0.086749285,0.063441204,0.086749285,0.110204306,0.145728643,0.193038641,0.036363636,0.073726102,0.106796117,0.038914917,0.45909712
Europe,AT,VIE,Verbund AG,EUR,VERB.VI,AT0000746409,4661607,28.59,1938516360,2573768171,Utilities,Utilities,28.96,29.92,26.12,25,29.97,32.56,-0.012776243,-0.014927866,-0.044451872,-0.064946013,0.094563553,0.118187226,0.1436,0.190822101,-0.046046046,-0.011654573,-0.121928747,-0.175781963,0.343182276
Europe,AT,VIE,Atrium European Real Estate Ltd.,EUR,ATRV.VI,AT0000660659,7515864,2.27,515742381,684751160,Financials,Real Estate,2.32,2.02,2.15,1.47,2.18,2.58,-0.021551724,-0.02368422,0.123762376,0.099660456,0.055813953,0.129817646,0.544217687,0.68433578,0.041284404,0.130051199,-0.120155039,-0.134900784,0.717181837
Asia Pacific,AU,ASX,Bendigo & Adelaide Bank Ltd.,AUD,BEN.AX,AU000000BEN6,6091280,8.19,2105235403,1462717558,Financials,Banks,7.92,7.4,6.3,6.84,10,11.1,0.034090909,0.034612087,0.106756757,0.099556151,0.3,0.473039541,0.197368421,0.373682904,-0.181,-0.035281873,-0.262162162,-0.200707931,0.472870294
Asia Pacific,AU,ASX,Suncorp-Metway Ltd.,AUD,SUN.AX,AU000000SUN6,6585084,6,7816117392,5430638364,Financials,Banks,6.14,6.17,5.4,5.2,7.5,8.31,-0.022801303,-0.022308799,-0.027552674,0.241972053,0.111111111,0.501286216,0.153846154,0.57848898,-0.2,0.123676965,-0.277978339,-0.067326233,0.465212703
Asia Pacific,AU,ASX,National Australia Bank Ltd.,AUD,NAB.AX,AU000000NAB4,6624608,20.1,38534893347,26774043898,Financials,Banks,21.09,19.79,18.35,17.51,18.93,20.86,-0.046941679,-0.046461341,0.015664477,0.009056522,0.095367847,0.180178278,0.147915477,0.252233103,0.061806656,0.189264776,-0.036433365,-0.007471674,0.364012502
Asia Pacific,AU,ASX,Bank of Queensland Ltd.,AUD,BOQ.AX,AU000000BOQ8,6076243,8.44,1452569947,1009245599,Financials,Banks,8.3,7.94,7.04,6.84,7.4,9.45,0.01686747,0.017379967,0.062972292,0.05605655,0.198863636,0.398877037,0.233918129,0.457752315,0.140540541,0.383457957,-0.106878307,-0.003691305,0.483397702
Asia Pacific,AU,ASX,Australia & New Zealand Banking Group Ltd.,AUD,ANZ.AX,AU000000ANZ3,6065586,15.75,33990106311,23616325865,Financials,Banks,16.55,15.25,14.05,13.05,13.27,15.25,-0.048338369,-0.047858735,0.032786885,0.026067531,0.120996441,0.245936785,0.206896552,0.35815539,0.186887717,0.371345526,0.032786885,0.097427951,0.59495077
Asia Pacific,AU,ASX,Westpac Banking Corp.,AUD,WBC.AX,AU000000WBC1,6076146,19.09,55549723511,38595947895,Financials,Banks,19.14,18.95,17.13,16.65,15.64,16.63,-0.00261233,-0.002109651,0.007387863,0.000833756,0.114419148,0.222951761,0.146546547,0.273913948,0.220588235,0.392436585,0.147925436,0.204336834,0.464821461
Asia Pacific,AU,ASX,Commonwealth Bank of Australia,AUD,CBA.AX,AU000000CBA7,6215035,34.73,51094757176,35500637286,Financials,Banks,35,35.08,31,29.8,26.9,28.3,-0.007714286,-0.007214178,-0.009977195,-0.016418324,0.120322581,0.241693836,0.165436242,0.30781886,0.291078067,0.487542641,0.227208481,0.300359133,0.371364419
Asia Pacific,AU,ASX,BlueScope Steel Ltd.,AUD,BSL.AX,AU000000BSL0,6533232,2.57,2329277164,1618381774,Basic Materials,Basic Resources,2.79,2.55,2.25,2.33,3.53,3.45,-0.078853047,-0.078388792,0.007843137,0.001286068,0.142222222,0.25136144,0.103004292,0.223480371,-0.271954674,-0.170844347,-0.255072464,-0.219775255,0.470164516
Asia Pacific,AU,ASX,CSR Ltd.,AUD,CSR.AX,AU000000CSR5,6238645,1.2,1543271024,1072264708,Basic Materials,Basic Resources,1.275,1.145,1.17,1.02,1.425,1.79,-0.058823529,-0.05834918,0.048034934,0.041216376,0.025641026,0.361449693,0.176470588,0.581156761,-0.157894737,0.162031981,-0.329608939,-0.149238246,0.600762582
Asia Pacific,AU,ASX,Iluka Resources Ltd.,AUD,ILU.AX,AU000000ILU1,6957575,4.03,1422840465,988589555,Basic Materials,Basic Resources,4.1,4.4,4.2,4.32,4.25,4.44,-0.017073171,-0.016577779,-0.084090909,-0.090049851,-0.04047619,0.008512432,-0.06712963,-0.00726247,-0.051764706,0.036065234,-0.092342342,-0.08794484,0.249681037
Asia Pacific,AU,ASX,OneSteel Ltd.,AUD,OST.AX,AU000000OST6,6293729,2.25,1972111838,1370223305,Basic Materials,Basic Resources,2.38,2.18,1.805,1.8,2.43,2.39,-0.054621849,-0.054145382,0.032110092,0.025395141,0.246537396,0.310179538,0.25,0.330219023,-0.074074074,0.011689469,-0.058577406,-0.054016315,0.395546818
Asia Pacific,AU,ASX,Alumina Ltd.,AUD,AWC.AX,AU000000AWC3,6954985,1.28,1886440472,1310698840,Basic Materials,Basic Resources,1.24,1.21,1,1.195,1.14,1.28,0.032258065,0.032778318,0.05785124,0.050968816,0.28,0.345350579,0.071129707,0.139869689,0.122807018,0.226806598,0,0.004844891,0.512281663
Asia Pacific,AU,ASX,Newcrest Mining Ltd.,AUD,NCM.AX,AU000000NCM7,6637101,32.73,15732597944,10931009052,Basic Materials,Basic Resources,33.54,33.66,31.71,30,31,33.09,-0.024150268,-0.023658444,-0.027629234,-0.033955518,0.032166509,0.151849152,0.091,0.232702382,0.055806452,0.224829505,-0.01087942,0.055282194,0.437871124
Asia Pacific,AU,ASX,BHP Billiton Ltd.,AUD,BHP.AX,AU000000BHP4,6144690,31.91,1.07053E+11,74380605994,Basic Materials,Basic Resources,34.01,33.32,31,28.6,30.5,29.65,-0.061746545,-0.061273669,-0.042316927,-0.048547652,0.029354839,0.081908694,0.115734266,0.187336756,0.046229508,0.143136126,0.076222597,0.081436778,0.440806131
Asia Pacific,AU,ASX,Lihir Gold Ltd.,AUD,LGL.AX,PG0008974597,6518596,3.28,7740320129,5377974426,Basic Materials,Basic Resources,3.23,3.4,2.97,3.27,3.13,3.03,0.015479876,0.015991674,-0.035294118,-0.041570534,0.104377104,0.25371373,0.003058104,0.152908178,0.047923323,0.236676131,0.082508251,0.174858955,0.467042206
Asia Pacific,AU,ASX,Fortescue Metals Group Ltd.,AUD,FMG.AX,AU000000FMG4,6086253,2.55,3029100054,2104618718,Basic Materials,Basic Resources,2.6,2.3,2.31,2.56,1.77,1.88,-0.019230769,-0.018736465,0.108695652,0.101482433,0.103896104,0.160255674,-0.00390625,0.060018284,0.440677966,0.574120225,0.356382979,0.362954507,0.388164461
Asia Pacific,AU,ASX,Paladin Energy Ltd.,AUD,PDN.AX,AU000000PDN8,6668468,3.4,1562335152,1085510464,Basic Materials,Basic Resources,3.57,3.47,3.16,2.75,3.1,2.36,-0.047619048,-0.047139051,-0.020172911,-0.026547705,0.075949367,0.130882113,0.236363636,0.315707542,0.096774194,0.198362494,0.440677966,0.447657895,0.483415093
Asia Pacific,AU,ASX,Rio Tinto Ltd.,AUD,RIO.AX,AU000000RIO1,6220103,56.57,16162475726,11229688134,Basic Materials,Basic Resources,56.88,50.53,50.75,46.3,42.15,37.05,-0.00545007,-0.004948821,0.119532951,0.112249223,0.114679803,0.171589936,0.221814255,0.300224451,0.342111507,0.466424083,0.526855601,0.53425305,0.484521894
Asia Pacific,AU,ASX,Incitec Pivot Ltd.,AUD,IPL.AX,AU000000IPL1,6673042,2.12,3388350649,2354226031,Basic Materials,Chemicals,2.2,2.15,2.39,2.18,2.67,2.4,-0.036363636,-0.035877968,-0.013953488,-0.020368748,-0.112970711,-0.048127896,-0.027522936,0.056592801,-0.205992509,-0.114250893,-0.116666667,-0.093769266,0.38020006
Asia Pacific,AU,ASX,Orica Ltd.,AUD,ORI.AX,AU000000ORI1,6458001,14.79,5312513765,3691134564,Basic Materials,Chemicals,15.14,14.75,13.99,13.68,13.54,13.8,-0.023117569,-0.022625225,0.002711864,-0.00381182,0.057183703,0.111158364,0.081140351,0.150522769,0.092319055,0.193494699,0.07173913,0.07693159,0.378093759
Asia Pacific,AU,ASX,Leighton Holdings Ltd.,AUD,LEI.AX,AU000000LEI5,6511227,19.3,2698876925,1875179687,Industrials,Construction & Materials,20.16,19.25,19.24,19.08,16.76,26.29,-0.04265873,-0.042176234,0.002597403,-0.003925538,0.003118503,0.054332858,0.011530398,0.076445582,0.151551313,0.258213322,-0.265880563,-0.262323834,0.425855814
Asia Pacific,AU,ASX,Boral Ltd.,AUD,BLD.AX,AU000000BLD2,6218670,3.61,2114504299,1469157587,Industrials,Construction & Materials,3.68,3.41,2.86,2.92,3.31,4.66,-0.019021739,-0.01852733,0.058651026,0.051763399,0.262237762,0.326681488,0.23630137,0.31564128,0.090634441,0.191654049,-0.225321888,-0.221568657,0.490840699
Asia Pacific,AU,ASX,James Hardie Industries N.V.,AUD,JHX.AX,AU000000JHX1,6412977,4.2,1818320125,1263368823,Industrials,Construction & Materials,4.07,4.05,3.75,3.25,3.92,4.45,0.031941032,0.032461126,0.037037037,0.030290032,0.12,0.177181756,0.292307692,0.375241821,0.071428571,0.170669243,-0.056179775,-0.051607069,0.451708764
Asia Pacific,AU,ASX,Lend Lease Corp. Ltd.,AUD,LLC.AX,AU000000LLC3,6512004,6.49,2575079283,1789165086,Industrials,Construction & Materials,6.43,6.25,5.82,5.06,6.79,7.03,0.00933126,0.009839959,0.0384,0.031644127,0.115120275,0.172052896,0.282608696,0.364920389,-0.044182622,0.194858243,-0.076813656,0.061350618,0.580008088
Asia Pacific,AU,ASX,Downer EDI Ltd.,AUD,DOW.AX,AU000000DOW2,6465573,4.45,1446625727,1005115555,Industrials,Construction & Materials,4.61,4.28,4.15,3.87,3.56,3.99,-0.034707158,-0.034220655,0.039719626,0.032955168,0.072289157,0.12703503,0.149870801,0.22366401,0.25,0.365780783,0.115288221,0.120691671,0.470834268
Asia Pacific,AU,ASX,United Group Ltd.,AUD,UGL.AX,AU000000UGL5,6914871,9.18,1503059889,1044326011,Industrials,Construction & Materials,9.23,7.99,7.5,7.6,8.02,8,-0.005417118,-0.004915851,0.14893617,0.141461145,0.224,0.286491491,0.207894737,0.285411645,0.144638404,0.25066011,0.1475,0.153059513,0.5296528
Asia Pacific,AU,ASX,Perpetual Ltd.,AUD,PPT.AX,AU000000PPT9,6682394,26.94,1130742518,785639901,Financials,Financial Services,27.64,27.32,25.5,23.98,30.72,34.9,-0.025325615,-0.024834383,-0.013909224,-0.020324772,0.056470588,0.110408841,0.123436197,0.19553296,-0.123046875,-0.04181942,-0.228080229,-0.224340362,0.459233597
Asia Pacific,AU,ASX,ASX Ltd.,AUD,ASX.AX,AU000000ASX7,6129222,29.35,5022456792,3489602979,Financials,Financial Services,30.05,29.44,29,26.18,27.15,32.72,-0.023294509,-0.022802253,-0.003057065,-0.009543217,0.012068966,0.063740288,0.121084798,0.193030659,0.081031308,0.181161429,-0.10299511,-0.098649219,0.43405389
Asia Pacific,AU,ASX,AMP Ltd.,AUD,AMP.AX,AU000000AMP6,6709958,4.7,9366589054,6507906074,Financials,Financial Services,4.85,4.45,4.14,4.89,5.27,5.37,-0.030927835,-0.030439427,0.056179775,0.049308226,0.1352657,0.271715898,-0.038854806,0.090107238,-0.108159393,0.03854498,-0.124767225,-0.062676114,0.437618305
Asia Pacific,AU,ASX,Macquarie Group Ltd.,AUD,MQG.AX,AU000000MQG1,B28YTC2,27.05,7596845781,5278288448,Financials,Financial Services,25.46,23.8,20.04,17.49,25.99,28.8,0.062450903,0.062986374,0.136554622,0.12916015,0.349800399,0.418714647,0.546598056,0.645851324,0.040784917,0.137187231,-0.060763889,-0.056213392,0.631243527
Asia Pacific,AU,ASX,Computershare Ltd.,AUD,CPU.AX,AU000000CPU5,6180412,8.78,4077569627,2833095377,Financials,Financial Services,8.75,8.54,7.9,7.13,7.25,7.59,0.003428571,0.003934296,0.028103044,0.021414164,0.111392405,0.168134699,0.23141655,0.310442976,0.211034483,0.3232061,0.156785244,0.162389742,0.514302015
Asia Pacific,AU,ASX,Goodman Fielder Ltd.,AUD,GFF.AX,AU000000GFF8,B0T0H76,1.045,1107561538,769533756,Consumer Goods,Food & Beverage,1.03,1.07,0.96,1.185,1.535,1.295,0.014563107,0.015074442,-0.023364486,-0.029718518,0.088541667,0.144117314,-0.11814346,-0.061550125,-0.319218241,-0.256161085,-0.193050193,-0.189140609,0.217807655
Asia Pacific,AU,ASX,Foster's Group Ltd.,AUD,FGL.AX,AU000000FGL6,6349268,5.06,9750566946,6774693914,Consumer Goods,Food & Beverage,5.1,5.09,5.26,5.62,5.47,5.4,-0.007843137,-0.007343094,-0.00589391,-0.012361605,-0.038022814,0.011091066,-0.099644128,-0.041863593,-0.074954296,0.010727717,-0.062962963,-0.058423121,0.38839551
